Country,Year,1st_pillar_Institutions,2nd_pillar_Infrastructure,3rd_pillar_Macroeconomic_environment,4th_pillar_Health_and_primary_education,5th_pillar_Higher_education_and_training,6th_pillar_Goods_market_efficiency,7th_pillar_Labor_market_efficiency,8th_pillar_Financial_market_development,9th_pillar_Technological_readiness,10th_pillar_Market_size,11th_pillar_Business_sophistication_,12th_pillar_Innovation,Global_Competitiveness_Index,Population,GDP,Income group,Region,Forum classification
Greece,2015,3.722618638,4.825668525,3.255786355,6.130116779,4.838767012,4.183877769,3.735180674,2.812798873,4.918578948,4.313076151,3.838477597,3.234057794,4.024446442,10954617,25430,High income,Advanced economies,Europe and North America
Greece,2016,3.765942633,4.827832705,2.901221197,6.104661144,4.871271325,4.174950371,3.751045413,2.523974131,4.979321857,4.231662973,3.866881264,3.297042173,3.998923572,11331949,23938,High income,Advanced economies,Europe and North America
Guatemala,2014,3.342130086,4.169861234,4.736411933,5.295781748,3.56330704,4.579509891,4.069976883,4.439902189,3.472745437,3.592883195,4.287351621,3.065133704,4.098569819,16015494,7181,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2013,3.351929369,3.827554499,4.672621626,5.310845323,3.513848682,4.300744478,4.150120021,4.483379152,3.453602773,3.585473518,4.273092777,3.051338395,4.039780692,15690793,7063,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2008,3.482181679,3.468457444,4.717905498,5.024438489,3.270586179,4.381302006,4.249000356,3.846667617,3.195958343,3.363337898,4.331406624,3.051454729,3.94060613,14106687,6960,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2017,3.325013471,3.818074737,4.935412789,4.970506231,3.6673881,4.520213239,3.848505118,4.89876504,3.436997081,3.74971419,4.198539232,3.195919335,4.084755548,16913503,7562,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2015,3.316713185,3.838184691,4.827810376,4.944583817,3.620045485,4.578653033,4.051036435,4.577669929,3.364065069,3.747429829,4.204738886,3.131217045,4.054435319,16342897,7279,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2012,3.246228808,3.786500843,4.559636777,5.343775159,3.516892881,4.28739976,4.161574391,4.483579184,3.523537709,3.538824346,4.150118772,2.979810627,4.009427984,15368759,6985,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2007,3.494644071,3.303458599,4.630668743,5.026236032,3.168705341,4.228282792,4.150096318,3.93858125,2.93870353,3.262993939,4.149266553,2.998227536,3.860268945,13797629,6906,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2009,3.259834531,3.776034666,4.433642866,5.042977505,3.33710323,4.340921928,4.169280143,4.227759558,3.528932836,3.57033952,4.324299795,2.991479967,3.957857775,14418033,6826,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2016,3.341172596,3.821188785,4.929802876,4.976765768,3.610148889,4.556939953,3.92107978,4.880705491,3.374113517,3.683195658,4.191091621,3.226711815,4.079965115,16887842,6770,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2011,3.078246845,3.910129526,4.696629022,5.283457236,3.524849517,4.241286929,4.034428058,4.439370323,3.503746847,3.500302568,4.117833286,2.943603272,3.997117492,15049280,6957,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Guatemala,2010,3.147000935,3.89527715,4.68522076,5.331712674,3.468183429,4.206412516,4.05892426,4.552206147,3.568671899,3.483355974,4.153339751,2.931484833,4.03621103,14732261,6849,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Ireland,2009,5.205375611,4.193177399,4.63169109,6.226163102,5.118817787,5.092103401,4.862806452,4.598185002,5.26623212,4.264386897,4.969359822,4.288660191,4.835067667,4558603,44222,High income,Advanced economies,Europe and North America
Ireland,2007,5.24793392,4.03210869,5.690272431,6.275988721,5.259647776,5.413555997,4.867549247,5.912899591,4.645934404,4.174360266,5.065329423,4.536566723,5.02542855,4388612,50001,High income,Advanced economies,Europe and North America
Ireland,2008,5.385288273,3.953399889,5.329512588,6.279204787,5.183439334,5.297732825,4.954960214,5.679539389,4.98179555,4.222170401,5.053516911,4.394564348,4.991218942,4480145,47713,High income,Advanced economies,Europe and North America
Ireland,2010,5.137529283,4.798869427,4.260893202,6.513143228,5.165857858,5.092588207,4.870150298,3.786529229,4.99175868,4.195426566,4.849487423,4.249199692,4.742184061,4617334,43860,High income,Advanced economies,Europe and North America
Ireland,2016,5.590288961,5.236800646,5.200975951,6.500200033,5.704305119,5.429029752,5.125466411,3.992596391,6.050147174,4.270968005,5.20259579,4.813365624,5.176516896,4832024,43316,High income,Advanced economies,Europe and North America
Ireland,2012,5.218444125,5.344093009,3.435918174,6.456497068,5.304221844,5.241982487,4.996210159,3.599268378,5.819958397,4.129143087,5.086450316,4.658784373,4.908764852,4667868,44673,High income,Advanced economies,Europe and North America
Ireland,2017,5.347107918,5.105587548,5.77004033,6.478033321,5.84758132,5.347360059,4.872044116,3.990116827,5.969188967,4.497087211,5.160435827,4.704992999,5.158467655,4813608,33400,High income,Advanced economies,Europe and North America
Ireland,2014,5.40429019,5.321965421,3.487728308,6.535295394,5.539091531,5.286342022,4.821813877,4.151106666,5.893870387,4.145866149,5.023692446,4.679564378,4.979460042,4675164,46633,High income,Advanced economies,Europe and North America
Ireland,2011,5.188700109,5.120448331,4.01227925,6.488213506,5.154436381,5.102265841,4.895230908,3.435432963,5.342942983,4.118039035,4.928870391,4.365998801,4.772074781,4652714,44913,High income,Advanced economies,Europe and North America
Ireland,2013,5.268958495,5.272199896,3.569146792,6.60013464,5.434944504,5.21428175,4.925638724,3.855071868,5.745677705,4.151488833,5.042735002,4.576982431,4.922404888,4671263,44640,High income,Advanced economies,Europe and North America
Ireland,2015,5.532961434,5.336381921,4.450796361,6.513123796,5.593897117,5.408600306,5.051798613,3.976053186,6.07951127,4.234611101,5.138670522,4.81239135,5.113028422,4688465,47758,High income,Advanced economies,Europe and North America
Israel,2010,4.839519045,4.886882834,4.709111383,6.04911193,4.82321592,4.576241526,4.877004073,5.069311545,4.893248608,4.238848931,4.789526135,5.301693388,4.911070072,7420368,29509,High income,Advanced economies,Middle East and North Africa
Israel,2013,4.561259472,4.921669918,4.654476616,6.072950504,4.995061908,4.281582758,4.393827852,4.808155487,5.557166056,4.345931069,4.876963075,5.576902114,4.943741365,7817818,30927,High income,Advanced economies,Middle East and North Africa
Israel,2008,4.529089834,4.483871032,5.145405346,6.100700886,5.022563205,4.667661061,4.849499285,5.463978425,4.867132957,4.191019443,4.95014812,5.258401336,4.966056971,7093808,28562,High income,Advanced economies,Middle East and North Africa
Israel,2011,4.806248099,4.979135765,5.003536489,6.112482159,5.030381186,4.652017187,4.821259069,5.297665233,5.118542401,4.254643998,5.113573071,5.528673118,5.072616143,7563334,30183,High income,Advanced economies,Middle East and North Africa
Israel,2012,4.751730428,4.892909731,4.720605585,6.042067269,5.068165125,4.511367608,4.60872201,5.032553157,5.22688736,4.298728071,5.095925127,5.570415092,5.015851961,7694507,30518,High income,Advanced economies,Middle East and North Africa
Israel,2014,4.324176965,4.989853618,5.072017659,6.097767378,4.999684294,4.236598799,4.269428982,4.865590178,5.777766758,4.362517822,4.761439454,5.562851541,4.9488,7939483,31180,High income,Advanced economies,Middle East and North Africa
Israel,2007,4.833569511,4.809189372,4.925202193,6.32066255,5.357653022,5.001232473,5.009568113,5.724004391,5.291658795,4.209799574,5.132496358,5.572071984,5.199609463,6920762,28091,High income,Advanced economies,Middle East and North Africa
Israel,2009,4.639423406,4.419765253,4.623037718,5.821035159,4.598550113,4.40225687,4.783949091,5.143897883,5.109540836,4.283295007,4.674597674,5.064368673,4.796132179,7262964,28419,High income,Advanced economies,Middle East and North Africa
Israel,2015,4.357712741,4.893052596,4.976568032,6.152628852,5.103112988,4.422611535,4.445810015,4.586208687,5.679922795,4.268396595,4.93385706,5.647246675,4.981668889,8064036,31590,High income,Advanced economies,Middle East and North Africa
Israel,2016,4.779157487,5.295975636,5.102412933,6.294241583,5.37619396,4.709013733,4.800621222,4.876419985,5.755383507,4.210794396,5.097662296,5.731522417,5.175335989,8228217,28679,High income,Advanced economies,Middle East and North Africa
Israel,2017,4.940301519,5.397653845,5.244158269,6.343859274,5.443726915,4.816158481,4.899600826,5.073959192,6.171715071,4.293742418,5.256979541,5.795046679,5.312344487,8712400,35100,High income,Advanced economies,Middle East and North Africa
